rssi.mean|rssi.stddev|rssi.linslope|nonEmptyDataFrame.rate|sleepFrames.binary|emptyNullFrames.rate|associatedProbeRequests.binary|maxConsecutiveBeaconLoss.count|awakeNullFrames.rate|apDisconnectionFrames.binary|clientConnectionFrames.binary|clientAssociated.binary
-43.048022598870055|1.6867576758729776|-0.2596622465650394|0.12890052266157181|1|0.0|1|0|4.060366463839513|0|0|1
-43.32663316582914|1.2556782471666719|-0.2476217122343378|3.02637532319163|1|0.0|1|-1|52.96156815585353|0|0|1
-43.70224719101124|0.8585953420375132|-0.0900210587034186|69.86582787317052|0|0.0|1|-1|19.602642352903956|0|0|1
-43.915036674816626|1.3338479772926968|0.04147572589458583|57.58945423472997|1|0.0|1|-1|88.80616774514435|0|0|1
-43.99015748031496|0.7898853542367688|-0.22615173490299045|20.301737756522893|1|0.0|1|-1|49.73925750348109|0|0|1
-35.18191721132898|3.394635622330706|-0.24961221888609858|0.12940250049739144|1|0.0|1|0|10.158096289045229|0|0|1
-35.52010050251256|3.0888595397380736|0.4195510189554106|2.541665384008472|1|0.0|1|-1|117.4249407411914|0|0|1
-35.1764705882353|1.1062369060342379|-0.0010838985378430332|66.62729804182594|0|0.0|1|-1|36.34216256826869|0|0|1
-35.258278145695364|1.1874820383943263|-0.09912046351679006|56.49541024898473|0|0.0|1|-1|19.672508925985756|0|0|1
-35.583269671504965|2.8211148105826696|-0.485488519195843|16.57857254848601|1|0.0|1|-1|50.2380986317758|0|0|1
-46.190625|2.1370042370980458|-0.3448636498363452|0.13355211600641026|1|0.0|1|0|2.003281740096154|0|0|1
-46.51851851851852|0.6760654346136079|-0.13164138815404586|0.0|1|0.0|1|-1|29.370266818659367|0|0|1
-46.54545454545455|0.7041787902195303|-0.03164509506794222|36.98120576550096|1|0.0|1|-1|25.836184849870534|0|0|1
-46.72027972027972|0.7968960273460535|0.18037607421565166|53.84151066535499|0|0.0|1|-1|18.114900784605418|0|0|1
-47.10949868073879|1.2717301749431977|-0.24882027135687942|48.66282417164442|1|0.0|1|-1|19.5654653885993|0|0|1
-37.8101644245142|2.235028543175483|-0.2130913792433947|0.12914918655150046|1|0.0|1|0|7.0386306670567755|0|0|1
-38.12432432432433|1.8875703538569573|-0.07458063566156185|2.563372248867926|1|0.0|1|-1|86.6419820117359|0|0|1
-38.205882352941174|0.7738145303208258|-0.1332940478910639|66.68450803974706|0|0.0|1|-1|19.19705534477567|0|0|1
-38.48571428571429|0.7119963311072636|-0.02601733431068318|52.164003124732176|0|0.0|1|-1|20.142535860045097|0|0|1
-38.26865671641791|0.764552147753176|0.4256138823767583|24.86973558656447|0|0.0|1|-1|34.6399888527148|0|0|1
-50.80952380952381|4.929204008173634|-0.5859333402413772|0.07059284451494391|1|0.0|1|0|0.4588534893471354|0|0|1
-51.666666666666664|0.4714045207910317|-18.31503924960125|0.0|0|0.0|1|-1|88.5229100272261|0|0|1
-52.16883116883117|1.0244111061254553|-0.008148623520942174|34.604855034137444|0|0.0|1|-1|5.767475839022908|0|0|1
-52.333333333333336|0.9967266687952026|-0.03386841467502059|58.296296693666335|0|0.0|1|-1|19.94346992151743|0|0|1
-52.44642857142857|1.0677018520626247|0.13975287853840765|47.63085650137916|0|0.0|1|-1|23.49788920734705|0|0|1
-39.87042253521127|1.8447026834907787|-0.36446396846863705|0.13325687239225825|1|0.0|1|0|3.5313071183948437|0|0|1
-40.10758620689655|1.5084169714670244|-0.1844673505720594|0.0|1|0.0|1|-1|60.034853431140114|0|0|1
-40.23255813953488|1.1997736300717983|-0.18227700422198975|37.41007660527121|1|0.0|1|-1|36.890492207975775|0|0|1
-40.3445945945946|0.7325707957471362|-0.023659699558094556|56.92339133965454|0|0.0|1|-1|20.36708497473878|0|0|1
-40.42748091603053|0.720798267732084|0.06250598073373448|60.309921967323085|0|0.0|1|-1|25.56616257310435|0|0|1
