rssi.mean|rssi.stddev|rssi.linslope|nonEmptyDataFrame.rate|sleepFrames.binary|emptyNullFrames.rate|associatedProbeRequests.binary|maxConsecutiveBeaconLoss.count|awakeNullFrames.rate|apDisconnectionFrames.binary|clientConnectionFrames.binary|clientAssociated.binary
-72.69698544698545|7.560285861354815|-0.0003992286008985064|0.022951197737437486|0|0.0|0|1|0.16257098397351552|0|0|1
|||0.0|0|0.0|0|0|0.0|0|0|0
|||0.0|0|0.0|0|1|0.0|0|0|0
|||0.0|0|0.0|0|0|0.0|0|0|0
|||0.0|0|0.0|0|0|0.0|0|0|0
-70.90829694323143|3.3818641895470725|-0.0027703035708095333|0.031104070702992814|0|0.0|0|5|0.16184660518336938|0|1|1
|||0.0|0|0.0|0|0|0.0|0|0|0
|||0.0|0|0.0|0|0|0.0|0|0|0
|||0.0|0|0.0|0|0|0.0|0|0|0
|||0.0|0|0.0|0|0|0.0|0|0|0
